supermercado,producto_nombre,nombre,precio_descuento,precio_normal,precio_por_unidad,unidad,descuentos,url,fecha_extraccion,id_link_producto,fecha,error_type,titulo
Carrefour,,Mortadela mini El Bierzo 300 g.,4760,4760,15866.67,1 K.,Ninguno,https://www.carrefour.com.ar/mortadela-mini-el-bierzo-300-g-730209/p,,3266,2026-06-12,,
Carrefour,,Alcohol etílico Carrefour Soft 1 lt,4401,4890,4401,1 L.,Ninguno,https://www.carrefour.com.ar/alcohol-etilico-carrefour-soft-1-lt-336874/p,,3412,2026-06-12,,
Dia,Té Taragui Sin Ensobrado 25 Ud.,Té Taragui Sin Ensobrado 25 Ud.,1250.0,1250.0,,,,https://diaonline.supermercadosdia.com.ar/te-taragui-sin-ensobrado-25-ud-283639/p,2026-06-12 12:54:28,2508,,,
Carrefour,,Cerveza rubia Imperial Apa 473 ml,3025,3025,6395.35,1 L.,Ninguno,https://www.carrefour.com.ar/cerveza-rubia-imperial-apa-473-ml-650275/p,,3152,2026-06-12,,
Delimart,,Mate Cocido Nobleza Gaucha 50 saquitos,2407.14,2407.14,0,,Ninguno,https://www.delimart.com.ar/mate_cocido_nobleza_gaucha_50_saquitos,,4240,2026-06-12,,
Carrefour,,Cebolla x kg.,1199,1199,1199,1 K.,Ninguno,https://www.carrefour.com.ar/cebolla-x-kg-734857/p,,3283,2026-06-12,,
Delimart,,Cerveza Rubia Stella Artois 473 Cc,2266.66,2833.33,0,,Ninguno,https://www.delimart.com.ar/cerveza_rubia_stella_artois_473_cc,,4118,2026-06-12,,
Carrefour,,Mermelada de frutilla La Campagnola 454 g.,5129,5129,11297.36,1 K.,Ninguno,https://www.carrefour.com.ar/mermelada-de-frutilla-la-campagnola-454-g/p,,3037,2026-06-12,,
Carrefour,,Galletitas dulces Melitas vainilla miel 159 g.,1399,1399,8798.74,1 K.,Ninguno,https://www.carrefour.com.ar/galletitas-dulces-melitas-vainilla-miel-159-g-713281/p,,2705,2026-06-12,,
Carrefour,,Té verde Green Hills saquitos momentos x 50 uni,4499,4499,44990,1 K.,Ninguno,https://www.carrefour.com.ar/te-verde-green-hills-saquitos-momentos-x-50-uni-691016/p,,3237,2026-06-12,,
Carrefour,,Fernet Branca botella 750 cc.,18400,18400,24533.33,1 L.,Ninguno,https://www.carrefour.com.ar/fernet-branca-botella-750-cc/p,,3174,2026-06-12,,
Carrefour,,Mermelada Dulcor durazno 454 g.,2829,2829,6231.28,1 K.,Ninguno,https://www.carrefour.com.ar/mermelada-dulcor-durazno-454-g/p,,3055,2026-06-12,,
Delimart,,Dermo Acondicionador Head & Shoulders Hidratacion Coco 300 ml,10198.52,10198.52,0,,Ninguno,https://www.delimart.com.ar/dermo_acondicionador_head__shoulders_hidratacion_coco_300_ml,,4321,2026-06-12,,
Delimart,,Rollos de cocina Vual grofado 120 paños,1773.02,2085.90,0,,Ninguno,https://www.delimart.com.ar/rollos_de_cocina_vual_grofado_120_panos,,4389,2026-06-12,,
Delimart,,Queso Crema Casancrem Clasico La Serenísima 290 G,4386.65,4386.65,0,,Ninguno,https://www.delimart.com.ar/queso_crema_casancrem_clasico_la_serenisima_290_g,,3908,2026-06-12,,
Dia,Dentifrico Extra Blancura Con Bicarbonato Oral B 180 Gr 304310,Dentifrico Extra Blancura Con Bicarbonato Oral B 180 Gr 304310,0.0,0.0,,,,https://diaonline.supermercadosdia.com.ar/dentifrico-extra-blancura-con-bicarbonato-oral-b-180-gr-304310/p,2026-06-12 12:55:06,2595,,,
Carrefour,,Huevos frescos blancos Carrefour 6 u.,1922.80,2090,320.47,1 U.,Ninguno,https://www.carrefour.com.ar/huevos-frescos-blancos-carrefour-6-u/p,,2957,2026-06-12,,
Delimart,,Galletitas Granovita Granix sabor Coco 140 gr,1501.20,1501.20,0,,Ninguno,https://www.delimart.com.ar/galletitas_granovita_granix_sabor_coco_140_gr,,3792,2026-06-12,,
Carrefour,,Caldo de gallina Bulnez 6 uni,594,594,10421.05,1 K.,Ninguno,https://www.carrefour.com.ar/caldo-de-gallina-bulnez-6-uni-746514/p,,3011,2026-06-12,,
Carrefour,,Rollo de cocina Sussex Ultra 100 paños 3 uni,6999,6999,23.33,1 Pano,Ninguno,https://www.carrefour.com.ar/rollo-de-cocina-sussex-ultra-100-panos-3-uni-578816/p,,3410,2026-06-12,,
Carrefour,,Tapa de nalga Novillito x kg.,20600,20600,20600,1 K.,Ninguno,https://www.carrefour.com.ar/tapa-de-nalga-novillito-x-kg-678569/p,,3247,2026-06-12,,
,,Detergente Líquido Ala + Concentrado Limón Botella 500 ml,,,,,,https://www.carrefour.com.ar/detergente-liquido-ala-concentrado-limon-botella-500-ml-722418/p,,3368,,no_disponible,Carrefour
Dia,Tapa de Asado Envasado al Vacío x Kg.,Tapa de Asado Envasado al Vacío x Kg.,20900.0,20900.0,,,,https://diaonline.supermercadosdia.com.ar/tapa-de-asado-envasado-al-vacio-x-kg-279530/p,2026-06-12 12:55:30,2513,,,
Dia,Lomos De Atun Al Natural Swift 170 Gr.,Lomos De Atun Al Natural Swift 170 Gr.,4199.0,4199.0,,,,https://diaonline.supermercadosdia.com.ar/lomos-de-atun-al-natural-swift-170-gr-311354/p,2026-06-12 12:55:30,2534,,,
Delimart,,Galletitas Surtido Bagley x400 Gr,3802.75,3802.75,0,,Ninguno,https://www.delimart.com.ar/galletitas_surtido_bagley_x400_gr,,3826,2026-06-12,,
Delimart,,Cacao En Polvo Nesquik 800gr,10411.70,10411.70,0,,Ninguno,https://www.delimart.com.ar/cacao_en_polvo_nesquik_800gr2,,4193,2026-06-12,,
Carrefour,,Galletitas dulces Lincoln coco Terrabusi 153 g.,1248,1920,11851.85,1 K.,exclusivo online 2do al 70% iguales,https://www.carrefour.com.ar/galletitas-dulces-lincoln-coco-terrabusi-153-g-521106/p,,2797,2026-06-12,,
,,"Gaseosa Crush pomelo amarillo 2,25 lts",,,,,,https://www.carrefour.com.ar/gaseosa-crush-pomelo-amarillo-2-25-lts-337554/p,,3077,,no_disponible,Carrefour
