supermercado,producto_nombre,nombre,precio_descuento,precio_normal,precio_por_unidad,unidad,descuentos,url,fecha_extraccion,id_link_producto,error_type,fecha,titulo
Delimart,,Papel Higienico Elegante Aloe Vera Premium-Max 4 rollos x 80 m x 10 Cm,6324.97,6324.97,0,,Ninguno,https://www.delimart.com.ar/papel_higienico_elegante_aloe_vera_premium-max_4_rollos_x_80_m_x_10_cm,,4341,,2026-06-10,
Delimart,,Papel Higienico Triple Hoja Elegante Extra Confort 4 Rollos x 30 m,6430.11,6430.11,0,,Ninguno,https://www.delimart.com.ar/papel_higienico_triple_hoja_elegante_extra_confort_4_rollos_x_30_m,,4342,,2026-06-10,
Delimart,,Papel Higienico Doble Hoja Felpita 4 Un X 20 Mt,2297.85,2297.85,0,,Ninguno,https://www.delimart.com.ar/papel_higienico_doble_hoja_felpita_4_un_x_20_mt2,,4343,,2026-06-10,
Delimart,,Papel Higienico Doble Hoja Infinity 4 Un Felpita 30 Mt,3282.40,3282.40,0,,Ninguno,https://www.delimart.com.ar/papel_higienico_doble_hoja_infinity_4_un_felpita_30_mt2,,4344,,2026-06-10,
Delimart,,Papel Higienico Texturado Simple Hoja Campanita 4 Un 30 Mts,1306.81,1306.81,0,,Ninguno,https://www.delimart.com.ar/papel_higienico_texturado_simple_hoja_campanita_4_un_30_mts2,,4345,,2026-06-10,
Delimart,,Papel Higienico Campanita Soft Xl SH 4 x 80 Mts,3067.88,3067.88,0,,Ninguno,https://www.delimart.com.ar/papel_higienico_campanita_soft_xl_sh_4_x_80_mts,,4346,,2026-06-10,
Delimart,,Jabon Liquido Avena/Oats Protex 221 Ml,4603.95,4603.95,0,,Ninguno,https://www.delimart.com.ar/jabon_liquido_avenaoats_protex_221_ml,,4347,,2026-06-10,
Delimart,,Jabon Liquido Floral Rain Algabo 300 Ml,2209.51,2209.51,0,,Ninguno,https://www.delimart.com.ar/jabon_liquido_floral_rain_algabo_300_ml,,4348,,2026-06-10,
Delimart,,Jabon Liquido Descanso Floral x 200ml,2474.01,2474.01,0,,Ninguno,https://www.delimart.com.ar/jabon_liquido_descanso_floral_x_200ml,,4349,,2026-06-10,
Delimart,,Protector Diario Doncella Anatomicos Con Perfume 20 Unid.,1275.58,1275.58,0,,Ninguno,https://www.delimart.com.ar/protector_diario_doncella_anatomicos_con_perfume_20_unid,,4350,,2026-06-10,
Delimart,,Toalla Calipso Normal X8,1097.93,1097.93,0,,Ninguno,https://www.delimart.com.ar/toalla_calipso_normal_x82,,4351,,2026-06-10,
Delimart,,Toallita Femenina Ladysoft Confort Soft x 8 uni,1021.14,1021.14,0,,Ninguno,https://www.delimart.com.ar/toallita_femenina_ladysoft_confort_soft_x_8_uni,,4352,,2026-06-10,
Delimart,,Toallitas Femeninas Doncella C/Alas Sin Perfume 8 Unid.,1153.24,1153.24,0,,Ninguno,https://www.delimart.com.ar/toallitas_femeninas_doncella_calas_sin_perfume_8_unid,,4353,,2026-06-10,
Delimart,,Toallitas Femeninas Kotex Esencial x 16 Unidades,4234.29,4234.29,0,,Ninguno,https://www.delimart.com.ar/toallitas_femeninas_kotex_esencial_x_16_unidades,,4354,,2026-06-10,
Delimart,,Detergente Magistral Ultra Limón 300 Ml,3153.85,3153.85,0,,Ninguno,https://www.delimart.com.ar/detergente_magistral_ultra_limon_300_ml,,4355,,2026-06-10,
Delimart,,Detergente Cif Bioactive Lima 500 Ml,4686.35,4686.35,0,,Ninguno,https://www.delimart.com.ar/detergente_cif_bioactive_lima_500_ml,,4356,,2026-06-10,
Delimart,,Detergente Ala Ultra Limon 300 Ml,2106.52,2106.52,0,,Ninguno,https://www.delimart.com.ar/detergente_ala_ultra_limon_300_ml,,4357,,2026-06-10,
Delimart,,Detergente Concentrado Heroe Ultra X500 Ml Limon,1791.90,2108.12,0,,Ninguno,https://www.delimart.com.ar/detergente_concentrado_heroe_ultra_x500_ml_limon,,4358,,2026-06-10,
Delimart,,Lavandina Ayudin Triple Poder Pureza Glaciar 2L,4401.83,4401.83,0,,Ninguno,https://www.delimart.com.ar/lavandina_ayudin__triple_poder_pureza_glaciar_2l,,4359,,2026-06-10,
Delimart,,Lavandina Desinfectante Triple Poder Pureza Glaciar Ayudin 4L,8140.64,8140.64,0,,Ninguno,https://www.delimart.com.ar/lavandina_desinfectante_triple_poder_pureza_glaciar_ayudin_4l,,4360,,2026-06-10,
Delimart,,Lavandina Esencial Tradicional 2 Lt,2634.77,2634.77,0,,Ninguno,https://www.delimart.com.ar/lavandina_esencial_tradicional_2_lt,,4361,,2026-06-10,
