nombre,precio_normal,precio_descuento,precio_por_unidad,unidad,descuentos,fecha,supermercado,url,id_link_producto,producto_nombre,fecha_extraccion,error_type,titulo
CERVEZA SCHNEIDER LAT 473X,1378.00,1378.00,0,,Ninguno,2026-06-24,Depot,https://depotexpress.com.ar/productos/bebidas-c-alcohol/cerveza/cerv-schneider-lat-473x/,3590,,,,
Caldo Sabor Gallina 2 Cubos 19 Gr,488.70,488.70,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/caldo_sabor_gallina_2_cubos_19_gr,4003,,,,
Gaseosa Pepsi 1.5 Lt,2778.20,2778.20,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/gaseosa_pepsi_15_lt,4070,,,,
STELLA ARTOIS LAT 473X,2977.97,2977.97,0,,Ninguno,2026-06-24,Depot,https://depotexpress.com.ar/productos/bebidas-c-alcohol/cerveza/cerv-stella-artois-lata-473x/,3593,,,,
DULCE LECHE L.SERE EST COL 400X,2864.82,2864.82,0,,Ninguno,2026-06-24,Depot,https://depotexpress.com.ar/productos/desayuno/dlch-l-sere-est-col-400x/,3481,,,,
Gin Spirito Blu 700 Ml.,18800.0,13440.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/gin-spirito-blu-700-ml-301762/p,2468,Gin Spirito Blu 700 Ml.,2026-06-24 18:57:53,,
Queso Rallado Ilolay 40 G,1568.73,1568.73,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/queso_rallado_ilolay_40_g,3930,,,,
Vinagre de alcohol Bulnez 500 ml,,,,,,,,https://www.carrefour.com.ar/vinagre-de-alcohol-bulnez-500-ml-761713/p,2992,,,no_disponible,Vinagre de alcohol Bulnez 500 ml - Carrefour
Edulcorante líquido Hileret con stevia 200 cc.,5939,5939,29695,1 L.,Ninguno,2026-06-24,Carrefour,https://www.carrefour.com.ar/edulcorante-liquido-hileret-con-stevia-200-cc/p,2966,,,,
Dry Gin Brighton 700 Cc,11565.03,11565.03,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/dry_gin_brighton_700_cc,4158,,,,
Queso Untable Tregar Clásico 300 Gr.,3990.0,3990.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/queso-untable-tregar-clasico-300-gr-266108/p,2254,Queso Untable Tregar Clásico 300 Gr.,2026-06-24 18:58:38,,
Acondicionador Sedal crema balance toque de seda 650 ml,8699,6524.25,10037.31,1 L.,25% off max 8 unidades,2026-06-24,Carrefour,https://www.carrefour.com.ar/acondicionador-sedal-crema-balance-toque-de-seda-650-ml-715071/p,3319,,,,
Alimento seco para perro Voraz adultos sabor carne 15 kg,23979,23979,0,,Ninguno,2026-06-24,Carrefour,https://www.carrefour.com.ar/alimento-seco-para-perro-voraz-adultos-sabor-carne-15-kg-685746/p,3415,,,,
Lavandina Querubín concentrada 1 l.,1619,1619,1619,1 L.,Ninguno,2026-06-24,Carrefour,https://www.carrefour.com.ar/lavandina-querubin-concentrada-1-l-145345/p,3372,,,,
Nesquik Cereal X 210 Gr.,6310.0,4730.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/nesquik-cereal-x-210-gr-163400/p,2276,Nesquik Cereal X 210 Gr.,2026-06-24 18:59:20,,
Vinagre de Alcohol Dia 1 Lt.,1565.0,1565.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vinagre-de-alcohol-dia-1-lt-53468/p,2301,Vinagre de Alcohol Dia 1 Lt.,2026-06-24 18:59:25,,
Fideos Lucchetti Tallarin Al Huevo 500 Gr,1987.91,1987.91,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/fideos_lucchetti_tallarin_al_huevo_500_gr,3877,,,,
Vino tinto Malbec Cordero con piel de Lobo 750 ml,6600,6600,8800,1 L.,Ninguno,2026-06-24,Carrefour,https://www.carrefour.com.ar/vino-tinto-cordero-con-piel-de-lobo-malbec-750-cc-730738/p,3159,,,,
Galletitas dulces bañadas Celosas 110 g.,795,795,7227.27,1 K.,Ninguno,2026-06-24,Carrefour,https://www.carrefour.com.ar/galletitas-dulces-banadas-celosas-110-g-592074/p,2702,,,,
Whisky Johnnie Walker double black botella 750 ml,90269,67701.75,90269,1 L.,25% off max 8 unidades,2026-06-24,Carrefour,https://www.carrefour.com.ar/whisky-johnnie-walker-double-black-botella-750-ml-573735/p,3194,,,,
Fideos tallarin Don bernabeu 500 g.,1090,817.50,1635,1 K.,25% off max 8 unidades,2026-06-24,Carrefour,https://www.carrefour.com.ar/fideos-tallarin-don-bernabeu-500-g-735309/p,2866,,,,
Pure de Tomate Mora 520 Gr,827.26,827.26,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/pure_de_tomate_mora_520_gr,4014,,,,
ALIMENTO P/PERRO PEDIG POUCH CARNE SALSA 100X,705.87,705.87,0,,Ninguno,2026-06-24,Depot,https://depotexpress.com.ar/productos/alimentos-para-mascotas/alpp-pedig-pouch-carne-salsa-100x/,3764,,,,
Rollo de Cocina 50 paños 3 Ud.,2330.0,2330.0,,,2do al 80%,,Dia,https://diaonline.supermercadosdia.com.ar/rollo-de-cocina-50-panos-3-ud-140089/p,2641,Rollo de Cocina 50 paños 3 Ud.,2026-06-24 19:00:58,,
Cerveza Brahma Lata 473 ml.,2610.0,2610.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-brahma-lata-473-ml-76286/p,2393,Cerveza Brahma Lata 473 ml.,2026-06-24 19:01:03,,
Tubitos De Harina De Maíz Sabor Queso 3D Mega Queso X 143 Gr.,5400.0,3780.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/tubitos-de-harina-de-maiz-sabor-queso-3d-mega-queso-x-143-gr-273071/p,2385,Tubitos De Harina De Maíz Sabor Queso 3D Mega Queso X 143 Gr.,2026-06-24 19:01:07,,
N.CORREA MALBEC 750X,5371.40,5371.40,0,,Ninguno,2026-06-24,Depot,https://depotexpress.com.ar/productos/bebidas-c-alcohol/vinos-y-espumantes/vinf-nc-col-priv-malbec-750x/,3601,,,,
Sal fina Dos Estrellas 500 g.,779,779,1558,1 K.,Ninguno,2026-06-24,Carrefour,https://www.carrefour.com.ar/sal-fina-dos-estrellas-500-g/p,2977,,,,
Soda Benedictino sifón 2 lts,2100,1499.00,749.50,1 L.,28%,2026-06-24,Carrefour,https://www.carrefour.com.ar/soda-benedictino-sifon-2-lts-690118/p,3108,,,,
Jamón cocido feteado Bulnez 150 grs,3570,3570,2380,100 G.,Ninguno,2026-06-24,Carrefour,https://www.carrefour.com.ar/jamon-cocido-feteado-bulnez-150-grs-762622/p,3271,,,,
Whisky Johnnie Walker importado black label 1 l,94719,71039.25,71039.25,1 L.,25% off max 8 unidades,2026-06-24,Carrefour,https://www.carrefour.com.ar/whisky-johnnie-walker-importado-black-label-1-l/p,3193,,,,
Galletitas pepas Carrefour classic 300 g.,1590,1446.90,4823,1 K.,Ninguno,2026-06-24,Carrefour,https://www.carrefour.com.ar/galletitas-pepas-carrefour-classic-300-g/p,2672,,,,
Dulce De Leche Clasico Tregar 400 Gr,4079.91,4079.91,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/dulce_de_leche_clasico_tregar_400_gr,3955,,,,
Jugo multifruta Carrefour Classic tetra 1 lt.,1890,1644.30,1644.30,1 L.,Ninguno,2026-06-24,Carrefour,https://www.carrefour.com.ar/jugo-multifruta-carrefour-classic-tetra-1-lt-737127/p,3092,,,,
ACGI COCINERO TRADIC GIR 1.5X,3831.19,3831.19,0,,Ninguno,2026-06-24,Depot,https://depotexpress.com.ar/productos/limpieza/aceite-cocinero-tradiconal-gir-1-5x/,3470,,,,
Galletitas Serranitas Saladas 105 G,616.66,616.66,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/galletitas_serranitas_saladas_105_g,3837,,,,
Yerba Mate Salus 1 Kg,5775.23,5775.23,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/yerba_mate_salus_1_kg,4234,,,,
VINF SENSEI MALBEC 750X,3705.30,3705.30,0,,Ninguno,2026-06-24,Depot,https://depotexpress.com.ar/productos/bebidas-c-alcohol/vinos-y-espumantes/vinf-sensei-malbec-750x/,3606,,,,
Cerveza rubia Schneider 473 ml,,,,,,,,https://www.carrefour.com.ar/cerveza-rubia-schneider-473-ml-176451/p,3147,,,no_disponible,Carrefour
Queso crema Tonadita cremette 290 g.,,,,,,,,https://www.carrefour.com.ar/queso-crema-tonadita-cremette-290-g-712288/p,2909,,,no_disponible,Carrefour
Crema Dental Odol Doble Accion 70 Gr,2265.45,2265.45,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/crema_dental_odol_doble_accion_70_gr,4337,,,,
Cacao en polvo Chocolino bolsa 360 g.,4549,4549,12636.11,1 K.,Ninguno,2026-06-24,Carrefour,https://www.carrefour.com.ar/cacao-en-polvo-chocolino-bolsa-360-g/p,3218,,,,
Queso Crema Clásico Casancrem 500 Gr.,8690.0,8690.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/queso-crema-clasico-casancrem-500-gr-2797/p,2257,Queso Crema Clásico Casancrem 500 Gr.,2026-06-24 19:05:20,,
Queso Rallado La Serenisima 70 Gr,3329.07,3329.07,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/queso_rallado_la_serenisima_70_gr,3931,,,,
Gaseosa Coca Cola Sabor Original - 3 Lt,5079.17,5079.17,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/gaseosa_coca_cola_sabor_original_-_3_lt,4075,,,,
Galletitas De Agua Familiar Criollitas 300 Gr,2206.30,2206.30,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/galletitas_de_agua_familiar_criollitas_300_gr2,3845,,,,
Fideos Lucchetti Spaghetti Al Huevo 500 Gr,2511.89,2511.89,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/fideos_lucchetti_spaghetti_al_huevo_500_gr,3880,,,,
Galletitas Cofler Rellenas Bon o Bon 85 Gr,1211.41,1211.41,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/galletitas_cofler_rellenas_bon_o_bon_85_gr,3784,,,,
Galletitas Trimak polvorones limón 170 g.,1159,1159,6817.65,1 K.,Ninguno,2026-06-24,Carrefour,https://www.carrefour.com.ar/galletitas-trimak-polvorones-limon-170-g/p,2742,,,,
Té Taragui Sin Ensobrado 25 Ud.,1250.0,1070.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/te-taragui-sin-ensobrado-25-ud-283639/p,2508,Té Taragui Sin Ensobrado 25 Ud.,2026-06-24 18:55:49,,
Snacks Papas Fritas Sabor Asado Criollo Quento 82 Gr,2416.28,2053.84,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/snacks_papas_fritas_sabor_asado_criollo_quento_82_gr,4104,,,,
Aritos de cereal 3 Arroyos de avena y miel en bolsa 180 grs,,,,,,,,https://www.carrefour.com.ar/aritos-de-cereal-3-arroyos-de-avena-y-miel-en-bolsa-180-grs-316589/p,2941,,,no_disponible,Carrefour
Vodka Absolut botella 700 cc.,,,,,,,,https://www.carrefour.com.ar/vodka-absolut-botella-700-cc-695499/p,3176,,,no_disponible,Carrefour
Cerveza Salta Cautiva Session Ipa 473 ml,2850,2850,6025.37,1 L.,Ninguno,2026-06-24,Carrefour,https://www.carrefour.com.ar/cerveza-salta-cautiva-session-ipa-473-ml-737640/p,3148,,,,
Gaseosa Pepsi 2Lts,2902.54,2902.54,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/gaseosa_pepsi_2lts,4073,,,,
,,,,,,,,https://www.carrefour.com.ar/vinagre-de-alcohol-alcazar-1-l/p,2999,,,404,Carrefour - Las mejores ofertas en supermercados
